table_name,column_name,datatype,alts
groundwater_assessment,State,TEXT,province
groundwater_assessment,State,TEXT,region
groundwater_assessment,District,TEXT,county
groundwater_assessment,District,TEXT,area
groundwater_assessment,Block,TEXT,sub_district
groundwater_assessment,Block,TEXT,zone
groundwater_assessment,Block,TEXT,assessment_unit
groundwater_assessment,Year,INT,yr
groundwater_assessment,Year,INT,report_year
groundwater_assessment,Recharge_mcm,"DECIMAL(10, 2)",recharge_million_cubic_meters
groundwater_assessment,Recharge_mcm,"DECIMAL(10, 2)",annual_recharge
groundwater_assessment,Extraction_mcm,"DECIMAL(10, 2)",extraction_million_cubic_meters
groundwater_assessment,Extraction_mcm,"DECIMAL(10, 2)",groundwater_usage
groundwater_assessment,Stage_pct,"DECIMAL(5, 1)",stage_of_extraction_percentage
groundwater_assessment,Stage_pct,"DECIMAL(5, 1)",extraction_stage
groundwater_assessment,Category,TEXT,groundwater_category
groundwater_assessment,Category,TEXT,status
groundwater_assessment,Category,TEXT,classification
rainfall_data,State,TEXT,province
rainfall_data,State,TEXT,region
rainfall_data,District,TEXT,county
rainfall_data,District,TEXT,area
rainfall_data,Year,INT,yr
rainfall_data,Year,INT,report_year
rainfall_data,Annual_Rainfall_mm,"DECIMAL(7, 1)",annual_rainfall
rainfall_data,Annual_Rainfall_mm,"DECIMAL(7, 1)",total_rainfall_mm
rainfall_data,Rainfall_Deviation_pct,"DECIMAL(5, 1)",rainfall_deviation_percentage
rainfall_data,Rainfall_Deviation_pct,"DECIMAL(5, 1)",deviation_from_mean
rainfall_data,Rainfall_Category,TEXT,rainfall_status
rainfall_data,Rainfall_Category,TEXT,deficit_normal_excess
well_monitoring,Well_ID,TEXT,well_identifier
well_monitoring,Well_ID,TEXT,observation_well_id
well_monitoring,Well_ID,TEXT,well_code
well_monitoring,State,TEXT,province
well_monitoring,State,TEXT,region
well_monitoring,District,TEXT,county
well_monitoring,District,TEXT,area
well_monitoring,Block,TEXT,sub_district
well_monitoring,Block,TEXT,zone
well_monitoring,Month,TEXT,measurement_month
well_monitoring,Month,TEXT,mon
well_monitoring,Year,INT,yr
well_monitoring,Year,INT,measurement_year
well_monitoring,Depth_to_Water_m,"DECIMAL(6, 2)",depth_to_water_level
well_monitoring,Depth_to_Water_m,"DECIMAL(6, 2)",water_level_depth_meters
well_monitoring,Depth_to_Water_m,"DECIMAL(6, 2)",dtw
well_monitoring,Observation_Type,TEXT,season
well_monitoring,Observation_Type,TEXT,pre_monsoon_post_monsoon
well_monitoring,Observation_Type,TEXT,reading_type
extraction_sources,State,TEXT,province
extraction_sources,State,TEXT,region
extraction_sources,District,TEXT,county
extraction_sources,District,TEXT,area
extraction_sources,Year,INT,yr
extraction_sources,Year,INT,report_year
extraction_sources,Extraction_mcm,"DECIMAL(10, 2)",sector_extraction_mcm
extraction_sources,Extraction_mcm,"DECIMAL(10, 2)",sector_usage
extraction_sources,Extraction_mcm,"DECIMAL(10, 2)",extraction_by_sector
extraction_sources,Sector,TEXT,extraction_sector
extraction_sources,Sector,TEXT,usage_type
extraction_sources,Sector,TEXT,user_category
policy_zones,State,TEXT,province
policy_zones,State,TEXT,region
policy_zones,District,TEXT,county
policy_zones,District,TEXT,area
policy_zones,Block,TEXT,sub_district
policy_zones,Block,TEXT,zone
policy_zones,Zone_Type,TEXT,policy_zone_type
policy_zones,Zone_Type,TEXT,notification_status
policy_zones,Zone_Type,TEXT,zone_classification
policy_zones,Notification_Year,INT,year_notified
policy_zones,Notification_Year,INT,declaration_year
recharge_structures,Project_ID,TEXT,project_identifier
recharge_structures,Project_ID,TEXT,structure_id
recharge_structures,Project_ID,TEXT,project_code
recharge_structures,State,TEXT,province
recharge_structures,State,TEXT,region
recharge_structures,District,TEXT,county
recharge_structures,District,TEXT,area
recharge_structures,Structure_Type,TEXT,recharge_structure_type
recharge_structures,Structure_Type,TEXT,project_type
recharge_structures,Capacity_mcm,"DECIMAL(8, 2)",recharge_capacity_mcm
recharge_structures,Capacity_mcm,"DECIMAL(8, 2)",structure_capacity
recharge_structures,Year_Completed,INT,completion_year
recharge_structures,Year_Completed,INT,build_year
recharge_structures,Status,TEXT,project_status
recharge_structures,Status,TEXT,active_inactive
recharge_structures,Status,TEXT,operational_status
